series,axis_cells,regions,ranks,mode,stage,samples,seconds_max_rank_median,seconds_max_rank_min,seconds_max_rank_max,peak_rss_bytes_max_rank_median,peak_rss_bytes_max_rank_min,peak_rss_bytes_max_rank_max,measured_mesh_bytes_max_rank_median,measured_mesh_bytes_max_rank_min,measured_mesh_bytes_max_rank_max,compatibility_bytes_max_rank_median,compatibility_bytes_max_rank_min,compatibility_bytes_max_rank_max,ghost_owned_ratio_max_rank_median,ghost_owned_ratio_max_rank_min,ghost_owned_ratio_max_rank_max
main,32,2,1,materialized,construction,1,2.100200128,2.100200128,2.100200128,89468928,89468928,89468928,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
main,32,2,1,materialized,execution_view_setup,1,8.46e-07,8.46e-07,8.46e-07,89468928,89468928,89468928,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
main,32,2,1,materialized,native_region_traversal_average,1,0.0021550856,0.0021550856,0.0021550856,89468928,89468928,89468928,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
main,32,2,1,materialized,output,1,0.063937931,0.063937931,0.063937931,106516480,106516480,106516480,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
main,32,2,1,materialized,solve_including_preconditioner,1,0.023796279,0.023796279,0.023796279,102453248,102453248,102453248,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
main,32,2,1,materialized,traversal_average,1,0.0301132726,0.0301132726,0.0301132726,89468928,89468928,89468928,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
main,32,2,1,native,application_average,1,0.0001022154,0.0001022154,0.0001022154,62201856,62201856,62201856,31024,31024,31024,0,0,0,0,0,0
main,32,2,1,native,assembly,1,0.032252591,0.032252591,0.032252591,62201856,62201856,62201856,31024,31024,31024,0,0,0,0,0,0
main,32,2,1,native,construction,1,0.000941485,0.000941485,0.000941485,50610176,50610176,50610176,31024,31024,31024,0,0,0,0,0,0
main,32,2,1,native,execution_view_setup,1,4.2e-07,4.2e-07,4.2e-07,50757632,50757632,50757632,31024,31024,31024,0,0,0,0,0,0
main,32,2,1,native,output,1,0.056045916,0.056045916,0.056045916,66400256,66400256,66400256,31024,31024,31024,0,0,0,0,0,0
main,32,2,1,native,solve_including_preconditioner,1,0.02371692,0.02371692,0.02371692,62201856,62201856,62201856,31024,31024,31024,0,0,0,0,0,0
main,32,2,1,native,traversal_average,1,0.0064529394,0.0064529394,0.0064529394,50757632,50757632,50757632,31024,31024,31024,0,0,0,0,0,0
main,32,2,2,composite,application_average,1,6.98412e-05,6.98412e-05,6.98412e-05,81948672,81948672,81948672,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,composite,assembly,1,0.340228205,0.340228205,0.340228205,81190912,81190912,81190912,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,composite,construction,1,0.1276114,0.1276114,0.1276114,77324288,77324288,77324288,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,composite,execution_view_setup,1,1.057e-06,1.057e-06,1.057e-06,77586432,77586432,77586432,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,composite,native_region_traversal_average,1,0.0011108632,0.0011108632,0.0011108632,77586432,77586432,77586432,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,composite,output,1,0.03041713,0.03041713,0.03041713,83816448,83816448,83816448,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,composite,solve_including_preconditioner,1,0.01519236,0.01519236,0.01519236,83816448,83816448,83816448,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,composite,traversal_average,1,0.0591726296,0.0591726296,0.0591726296,77586432,77586432,77586432,187800,187800,187800,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,materialized,application_average,1,7.2812e-05,7.2812e-05,7.2812e-05,82567168,82567168,82567168,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
main,32,2,2,materialized,assembly,1,0.378590328,0.378590328,0.378590328,81805312,81805312,81805312,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
main,32,2,2,materialized,construction,1,0.226018115,0.226018115,0.226018115,77553664,77553664,77553664,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
